year,debt_closed,debt_open,primary_deficit_closed,primary_deficit_open,capital,assets,consumption_closed,consumption_open,consumption_chg_closed,consumption_chg_open,anmp,r
2069.0,2.0757401644650524,1.9570770543322713,-0.0014028467153320244,0.007216283152837719,8.962129917767474,9.02146147283406,1.4400497503596905,1.4415702310786511,0.0020876608574582622,0.0036081415764188662,0.01324006431497686,0.01592737967638004
2070.0,2.0865330885729376,1.9652929508141357,-0.0025057240470380904,0.006386023475351122,8.95673345571353,9.017353524593128,1.439528800241485,1.4411551012399078,0.0015667107392527413,0.0031930117376754996,0.0132553878699785,0.01595802678638332
2071.0,2.096360708360417,1.9726913043758976,-0.003510024713194772,0.005638380822394243,8.951819645819791,9.013654347812247,1.4390545695258212,1.4407812799134294,0.001092480023588971,0.002819190411197159,0.013269354324806262,0.015985959696038846
2072.0,2.1053099222172587,1.979353466629969,-0.004424612082048718,0.0049651341844116036,8.947345038891369,9.010323266685212,1.438622831097528,1.440444656594438,0.0006607415952957219,0.002482567092205734,0.013282083581222487,0.016011418208871295
2073.0,2.1134597106525908,1.985352694097141,-0.005257543717595866,0.004358880603556756,8.943270144673702,9.007323652951625,1.4382297465919436,1.4401415298040106,0.0002676570897113262,0.0021794403017783015,0.0132936849968871,0.01603462104020051
2074.0,2.120881873741625,1.9907549537285207,-0.006016146130842082,0.0038129537714515745,8.939559063129185,9.004622523135934,1.4378718295902346,1.439868566387958,-9.025991199762551e-05,0.0019064768857257608,0.01330425830404583,0.01605576765451798
2075.0,2.127641697225997,1.995619648272032,-0.006707082347851593,0.003321350727075073,8.936179151386998,9.002190175864179,1.4375459124731105,1.4396227648657698,-0.0004161770291217781,0.0016606753635375338,0.013313894449672625,0.016075039945771585
2076.0,2.1337985546052898,2.0000002694595453,-0.0073364130256247375,0.0028786658487584818,8.93310072269735,8.999999865270421,1.4372491165412669,1.4394014224266114,-0.0007129729609653968,0.0014393329243791442,0.013322676363514807,0.01609260377345595
2077.0,2.139406451733961,2.0039449861970198,-0.00790965176597239,0.0024800314144686714,8.930296774133016,8.998027506901684,1.4369788250571551,1.4392021052094666,-0.0009832644450771255,0.0012400157072343099,0.01333067966000931,0.01610861036644494
2078.0,2.144514519717257,2.0074971742253447,-0.008431815206604635,0.0021210640767862863,8.927742740141369,8.996251412887522,1.4367326589028293,1.4390226215406254,-0.0012294305994029475,0.0010605320383931804,0.01333797327958397,0.01612319760559426
2079.0,2.149167461267445,2.01069589307598,-0.008907468406270866,0.0017978166640223935,8.925416269366274,8.994652053462204,1.436508454583596,1.4388609978342435,-0.0014536349186362596,0.0008989083320112279,0.013344620074430796,0.016136491195287914
2080.0,2.153405955125857,2.013576315565955,-0.00934076598582494,0.0015067347774831716,8.923297022437067,8.993211842217216,1.4363042443376939,1.438715456890974,-0.001657845164538374,0.0007533673887416548,0.013350677343437395,0.01614860573330111
2081.0,2.1572670226664377,2.0161701145549187,-0.009735489438560549,0.0012446177076301788,8.921366488666775,8.991914942722733,1.4361182381389077,1.4385843983560473,-0.0018438513633245446,0.00062230885381509,0.013356197320589624,0.01615964568760557
2082.0,2.160784360364082,2.018505811216975,-0.010095080980229577,0.0010085832393739037,8.919607819817953,8.990747094391706,1.4359488074024078,1.4384663811219192,-0.0020132820998244316,0.000504291619686903,0.013361227620810101,0.01616970628804651
2083.0,2.16398864142846,2.0206090886568826,-0.010422674271101688,0.0007960359595028577,8.918005679285764,8.989695455671752,1.4357944702246455,1.4383601074819836,-0.0021676192775867964,0.0003980179797513639,0.01336581164687392,0.016178874340174176
2084.0,2.1669077895649433,2.0225030743190997,-0.01072112230863107,0.0006046387177596288,8.916546105217522,8.988748462840643,1.4356538780062225,1.438264408861112,-0.0023082114960097933,0.0003023193588798101,0.013369988960744025,0.01618722896791437
2085.0,2.169567227523126,2.02420859429503,-0.010993022759235728,0.00043228692775252334,8.91521638623843,8.98789570285268,1.4355258033226035,1.4381782329661086,-0.002436286179628766,0.0002161434638763282,0.013373795622390494,0.01619484229120731
2086.0,2.1719901028255433,2.0257444023247966,-0.011240740970909744,0.00027708542511799413,8.914004948587221,8.987127798837795,1.435409128921644,1.4381006322147913,-0.0025529605805882927,0.00013854271255908657,0.01337726449890353,0.016201780044233394
2087.0,2.174197492830559,2.027127386011639,-0.011466430884484539,0.00013732762846834667,8.912901253584714,8.986436306994374,1.4353028377393984,1.4380307533164665,-0.0026592517628338808,6.866381423420442e-05,0.013380425546472619,0.016208102139371572
2088.0,2.1762085910703344,2.028372752516438,-0.011672054039989872,1.1476773980429616e-05,8.911895704464827,8.985813623741976,1.4352060038367538,1.4379678278892225,-0.0027560856654784693,5.7383869902505324e-06,0.013383306067587836,0.01621386318160198
