index,year,primary deficit,debt,MPC,consumption,assets,assets_chg,debt_chg,foreign_capital,income,savings_rate,debt_to_earnings
1,2027.0,0.06,0.0594059405940594,0.75,1.0930182217443005,3.455445544554456,-0.04455445544554415,0.0594059405940594,0.04455445544554415,1.0821271326353898,-0.010064519020410058,0.05489737647496502
2,2028.0,0.06,0.11940005881776296,0.75,1.0930182217443005,3.410449955886678,-0.0895500441133219,0.11940005881776296,0.0895500441133219,1.0812272208620342,-0.010905201658598375,0.11043012653951537
3,2029.0,0.06,0.17998817821199825,0.75,1.0930182217443005,3.365008866341002,-0.13499113365899795,0.17998817821199825,0.13499113365899795,1.0803183990711207,-0.011755629344181657,0.166606602615262
4,2030.0,0.06,0.24117617997647348,0.75,1.0930182217443005,3.3191178650176463,-0.18088213498235373,0.24117617997647348,0.18088213498235373,1.0794005790446537,-0.012615930511821114,0.22343528867654633
5,2031.0,0.06,0.30297000354059694,0.75,1.0930182217443005,3.2727724973445538,-0.22722750265544622,0.30297000354059694,0.22722750265544622,1.0784736716911918,-0.0134862356262262,0.2809248027960657
6,2032.0,0.06,0.3653756471400088,0.75,1.0930182217443005,3.2259682646449956,-0.27403173535500436,0.3653756471400088,0.27403173535500436,1.0775375870372006,-0.014366677221595127,0.33908389975021325
7,2033.0,0.06,0.4283991683988208,0.75,1.0930182217443005,3.178700623700887,-0.321299376299113,0.4283991683988208,0.321299376299113,1.0765922342183185,-0.015257389941985259,0.397921473685781
8,2034.0,0.06,0.492046684917621,0.75,1.0930182217443005,3.1309649863117874,-0.36903501368821257,0.492046684917621,0.36903501368821257,1.0756375214705365,-0.016158510582637876,0.45744656084972674
9,2035.0,0.06,0.5563243748673004,0.75,1.0930182217443005,3.082756718849528,-0.4172432811504718,0.5563243748673004,0.4172432811504718,1.0746733561212913,-0.017070178132283315,0.5176683423837594
10,2036.0,0.06,0.6212384775887588,0.75,1.0930182217443005,3.0340711418084347,-0.46592885819156526,0.6212384775887588,0.46592885819156526,1.0736996445804694,-0.01799253381645622,0.5785961471855545
11,2037.0,0.06,0.6867952941985485,0.75,1.0930182217443005,2.9849035293510933,-0.5150964706489067,0.6867952941985485,0.5150964706489067,1.0727162923313225,-0.01892572114184644,0.6402394548384679
12,2038.0,0.06,0.7530011882005143,0.75,1.0930182217443005,2.9352491088496193,-0.5647508911503807,0.7530011882005143,0.5647508911503807,1.0717232039212932,-0.019869885941716767,0.7026078986116777
13,2039.0,0.06,0.8198625861034896,0.75,1.0930182217443005,2.885103060422388,-0.614896939577612,0.8198625861034896,0.614896939577612,1.0707202829527485,-0.02082517642241777,0.7657112685327458
14,2040.0,0.06,0.8873859780451084,0.75,1.0930182217443005,2.8344605164661747,-0.6655394835338253,0.8873859780451084,0.6655394835338253,1.0697074320736242,-0.021791743211027767,0.8295595145346553
15,2041.0,0.06,0.9555779184217926,0.75,1.0930182217443005,2.783316561183662,-0.7166834388163381,0.9555779184217926,0.7166834388163381,1.0686845529679738,-0.02276973940415505,0.8941627496794456
