index,fraction,debt,capital,income,year
81,0,2.038104384385975,10.0,0.02053564794982717,2107.0
82,0,2.03825745775822,10.0,0.02052179442298457,2108.0
83,0,2.0383952991893115,10.0,0.020509319425291363,2109.0
84,0,2.0385194243708944,10.0,0.02049808578282518,2110.0
85,0,2.038631198172,10.0,0.020487969971491046,2111.0
86,0,2.038731849647021,10.0,0.020478860758761895,2112.0
87,0,2.0388224855502806,10.0,0.020470657980575936,2113.0
88,0,2.038904102505799,10.0,0.02046327143994189,2114.0
89,0,2.0389775979660802,10.0,0.0204566199151412,2115.0
90,0,2.039043780080417,10.0,0.020450630266621528,2116.0
91,0,2.0391033765812265,10.0,0.020445236632761002,2117.0
92,0,2.039157042786126,10.0,0.020440379705659862,2118.0
93,0,2.0392053688037484,10.0,0.02043600607899633,2119.0
94,0,2.039248886022519,10.0,0.02043206766077558,2120.0
95,0,2.0392880729537572,10.0,0.02042852114451463,2121.0
96,0,2.0393233604933387,10.0,0.020425327533048262,2122.0
97,0,2.0393551366597893,10.0,0.02042245170971976,2123.0
98,0,2.0393837508609,10.0,0.020419862052241427,2124.0
99,0,2.0394095177357836,10.0,0.020417530084978836,2125.0
100,0,2.039432720614616,10.0,0.020415430165835358,2126.0
101,0,2.0394536146341107,10.0,0.020413539204294052,2127.0
102,0,2.039472429542975,10.0,0.02041183640751647,2128.0
103,0,2.0394893722282093,10.0,0.020410303051706522,2129.0
104,0,2.0395046289900156,10.0,0.02040892227622535,2130.0
105,0,2.0395183675903374,10.0,0.02040767889819331,2131.0
106,0,2.0395307390975552,10.0,0.020406559245540395,2132.0
107,0,2.0395418795476195,10.0,0.020405551006669458,2133.0
108,0,2.03955191143989,10.0,0.020404643095078997,2134.0
109,0,2.0395609450841277,10.0,0.020403825527457023,2135.0
110,0,2.0395690798134503,10.0,0.020403089313905484,2136.0
111,0,2.03957640507659,10.0,0.020402426359088163,2137.0
112,0,2.0395830014214633,10.0,0.020401829373215122,2138.0
113,0,2.0395889413808703,10.0,0.020401291791884858,2139.0
114,0,2.039594290270055,10.0,0.020400807703902697,2140.0
115,0,2.0395991069049084,10.0,0.020400371786281905,2141.0
116,0,2.0396034442487037,10.0,0.020399979245712595,2142.0
117,0,2.0396073499944714,10.0,0.020399625765854912,2143.0
118,0,2.039610867089432,10.0,0.020399307459877003,2144.0
119,0,2.0396140342072364,10.0,0.020399020827715723,2145.0
120,0,2.0396168861732202,10.0,0.02039876271759032,2146.0
121,0,2.0396194543473376,10.0,0.020398530291345682,2147.0
122,0,2.039621766968993,10.0,0.020398320993244286,2148.0
123,0,2.0396238494675623,10.0,0.02039813252186356,2149.0
124,0,2.0396257247420055,10.0,0.020397962804789584,2150.0
125,0,2.0396274134126684,10.0,0.020397809975829108,2151.0
126,0,2.0396289340480176,10.0,0.020397672354488996,2152.0
127,0,2.0396303033688183,10.0,0.020397548427497695,2153.0
128,0,2.039631536431996,10.0,0.020397436832165466,2154.0
129,0,2.0396326467962,10.0,0.02039733634140034,2155.0
130,0,2.0396336466708913,10.0,0.020397245850215143,2156.0
131,0,2.0396345470506003,10.0,0.020397164363577157,2157.0
132,0,2.0396353578358197,10.0,0.020397090985466847,2158.0
133,0,2.0396360879418682,10.0,0.02039702490902529,2159.0
134,0,2.0396367453969244,10.0,0.020396965407682023,2160.0
135,0,2.0396373374303036,10.0,0.020396911827165787,2161.0
136,0,2.0396378705519496,10.0,0.020396863578310158,2162.0
137,0,2.039638350624019,10.0,0.02039682013057519,2163.0
138,0,2.039638782925341,10.0,0.020396781006213602,2164.0
139,0,2.0396391722094602,10.0,0.020396745775017523,2165.0
140,0,2.0396395227569086,10.0,0.02039671404958798,2166.0
141,0,2.039639838422274,10.0,0.020396685481075073,2167.0
142,0,2.0396401226765835,10.0,0.020396659755342078,2168.0
