index,year,primary deficit,debt,MPC,consumption,assets,assets_chg,debt_chg,foreign_capital,income,savings_rate
83,2109.0,-0.02396556646636546,2.4236960027412153,0.25,1.4614432083499038,2.8940759993147136,-0.6059240006852864,2.4236960027412153,0.6059240006852864,1.4903161199527897,0.01937368268136326
84,2110.0,-0.023992974528966215,2.423964709237301,0.25,1.4614363563342536,2.894008822690693,-0.6059911773093072,2.423964709237301,0.6059911773093072,1.4903147764203093,0.019377396334632584
85,2111.0,-0.024017886015567695,2.4242089394981003,0.25,1.4614301284626035,2.8939477651254935,-0.6060522348745065,2.4242089394981003,0.6060522348745065,1.4903135552690052,0.019380771720343266
86,2112.0,-0.024040528337053,2.424430923042074,0.25,1.4614244678822321,2.8938922692395006,-0.6061077307604994,2.424430923042074,0.606107730760499,1.4903124453512855,0.019383839649976285
87,2113.0,-0.024061108189650533,2.424632686302834,0.25,1.4614193229190826,2.893841828424311,-0.606158171575689,2.424632686302834,0.6061581715756894,1.4903114365349817,0.019386628128597115
88,2114.0,-0.02407981344181344,2.4248160711279607,0.25,1.4614146466060418,2.89379598221803,-0.6062040177819701,2.4248160711279607,0.6062040177819696,1.490310519610856,0.01938916261046006
89,2115.0,-0.024096814849224872,2.4249827515927787,0.25,1.4614103962541891,2.8937543121018257,-0.6062456878981743,2.4249827515927787,0.6062456878981743,1.4903096862085319,0.019391466231334035
90,2116.0,-0.024112267613584967,2.425134249282584,0.25,1.461406533063099,2.893716437679375,-0.6062835623206251,2.425134249282584,0.6062835623206251,1.4903089287200828,0.019393560019670537
91,2117.0,-0.024126312799409293,2.425271947182823,0.25,1.461403021766643,2.893682013204316,-0.606317986795684,2.425271947182823,0.606317986795684,1.4903082402305816,0.019395463088539615
92,2118.0,-0.024139078621772392,2.4253971023040295,0.25,1.4613998303110523,2.8936507244240146,-0.6063492755759854,2.4253971023040295,0.606349275575985,1.4903076144549756,0.0193971928100866
93,2119.0,-0.02415068161675192,2.4255108571567696,0.25,1.4613969295623073,2.8936222857108302,-0.6063777142891698,2.4255108571567696,0.6063777142891702,1.490307045680712,0.019398764974099474
94,2120.0,-0.024161227705258068,2.4256142501813396,0.25,1.4613942930401809,2.8935964374546876,-0.6064035625453124,2.4256142501813396,0.6064035625453119,1.4903065287155892,0.019400193932134328
95,2121.0,-0.024170813159959694,2.4257082252274342,0.25,1.4613918966765054,2.8935729436931648,-0.6064270563068352,2.4257082252274342,0.6064270563068348,1.4903060588403587,0.019401492728515185
