index,MPC,primary deficit,debt,consumption,capital,r,ANMP,income,year,debt_chg,consumption_chg,capital_chg,income_chg,wage_chg,cap_income_chg
110,0.5,-0.013756436029877663,2.1965934880583187,1.4342247643944435,8.901703255970833,0.016272319596435658,0.013412534275004662,1.5452183820100716,2136.0,2.1965934880583187,-0.0037373251077887915,-1.0982967440291667,0.007256292507839435,-0.05402126073466203,0.061277553242501476
111,0.5,-0.01375859259006829,2.196614577514431,1.4342237495128627,8.901692711242777,0.016272380131144515,0.01341256454235909,1.5452165269212923,2137.0,2.196614577514431,-0.0037383399893695657,-1.0983072887572227,0.007254437419060178,-0.054021801664566126,0.061276239083626394
112,0.5,-0.013760557664379374,2.196633794387417,1.4342228247455293,8.901683102806285,0.016272435290936388,0.01341259212225504,1.545214836551866,2138.0,2.196633794387417,-0.0037392647567029424,-1.0983168971937154,0.0072527470496339674,-0.05402229456442417,0.061275041614058084
113,0.5,-0.013762348255480887,2.196651304950585,1.434221982090796,8.9016743475247,0.016272485553051608,0.013412617253312636,1.5452132962755054,2139.0,2.196651304950585,-0.0037401074114362665,-1.0983256524752996,0.007251206773273289,-0.054022743698924895,0.06127395047219831
114,0.5,-0.013763979856284454,2.196667260712876,1.434221214257542,8.901666369643555,0.016272531352356484,0.013412640152965088,1.545211892764722,2140.0,2.196667260712876,-0.003740875244690356,-1.0983336303564446,0.007249803262489918,-0.05402315295408248,0.06127295621657257
115,0.5,-0.01376546658400878,2.196681799729937,1.4342205146020761,8.901659100135026,0.016272573085105768,0.013412661019339717,1.5452106138754849,2141.0,2.196681799729937,-0.0037415749001561416,-1.098340899864974,0.0072485243732527405,-0.054023525870860796,0.061272050244113654
116,0.5,-0.01376682130233916,2.1966950477987677,1.434219877070643,8.90165247610061,0.016272611112370855,0.013412680032972274,1.5452094485421233,2142.0,2.1966950477987677,-0.0037422124315893424,-1.09834752389939,0.007247359039891155,-0.0540238656758123,0.0612712247157035
117,0.5,-0.013768055732738562,2.196707119546266,1.434219296147037,8.90164644022686,0.01627264576316359,0.013412697358368642,1.5452083866815653,2143.0,2.196707119546266,-0.0037427933551952286,-1.0983535597731393,0.007246297179333228,-0.05402417530899526,0.061270472488328565
118,0.5,-0.013769180555873856,2.1967181194211123,1.4342187668048667,8.901640940289438,0.016272677337282895,0.013412713145428287,1.5452074191060807,2144.0,2.1967181194211123,-0.0037433226973655476,-1.0983590597105621,0.007245329603848605,-0.05402445744941326,0.06126978705326194
119,0.5,-0.0137702055040351,2.196728142597566,1.4342182844640596,8.901635928701213,0.016272706107908527,0.013412727530741103,1.545206537443773,2145.0,2.196728142597566,-0.0037438050381726207,-1.0983640712987874,0.007244447941540777,-0.054024714538194955,0.0612691624797357
